 

stn;time;tre200s0;rre150z0
BER;202209021210;23.1;0.0
BER;202209021220;22.7;0.0
BER;202209021230;23.1;0.0
BER;202209021240;23.1;0.0
BER;202209021250;23.2;0.0
BER;202209021300;22.9;0.0
BER;202209021310;22.9;0.0
BER;202209021320;22.6;0.0
BER;202209021330;22.2;0.0
BER;202209021340;21.8;0.0
BER;202209021350;21.7;0.0
BER;202209021400;21.1;0.0
BER;202209021410;20.9;0.0
BER;202209021420;20.4;0.0
BER;202209021430;19.8;0.0
BER;202209021440;19.6;0.0
BER;202209021450;19.8;0.0
BER;202209021500;19.7;0.0
BER;202209021510;19.8;0.0
BER;202209021520;19.8;0.0
BER;202209021530;19.7;0.0
BER;202209021540;19.8;0.0
BER;202209021550;19.8;0.0
BER;202209021600;19.8;0.0
BER;202209021610;19.6;0.0
BER;202209021620;19.5;0.0
BER;202209021630;19.4;0.0
BER;202209021640;19.2;0.0
BER;202209021650;19.2;0.0
BER;202209021700;19.1;0.0
BER;202209021710;19.3;0.0
BER;202209021720;19.5;0.0
BER;202209021730;19.8;0.0
BER;202209021740;19.6;0.0
BER;202209021750;19.4;0.0
BER;202209021800;19.1;0.0
BER;202209021810;18.7;0.0
BER;202209021820;18.2;0.0
BER;202209021830;18.1;0.0
BER;202209021840;18.2;0.0
BER;202209021850;18.0;0.0
BER;202209021900;16.8;0.0
BER;202209021910;15.6;0.0
BER;202209021920;16.1;0.0
BER;202209021930;16.4;0.0
BER;202209021940;16.2;0.0
BER;202209021950;17.0;0.0
BER;202209022000;17.0;0.0
BER;202209022010;17.1;0.0
BER;202209022020;17.6;0.0
BER;202209022030;17.5;0.0
BER;202209022040;17.3;0.0
BER;202209022050;17.6;0.0
BER;202209022100;17.4;0.0
BER;202209022110;17.2;0.0
BER;202209022120;16.8;0.0
BER;202209022130;16.8;0.0
BER;202209022140;16.2;0.0
BER;202209022150;16.6;0.0
BER;202209022200;16.6;0.0
BER;202209022210;16.2;0.0
BER;202209022220;16.2;0.0
BER;202209022230;16.2;0.0
BER;202209022240;16.1;0.2
BER;202209022250;15.6;1.0
BER;202209022300;15.4;0.4
