 

stn;time;gre000z0
BER;202209030430;0
BER;202209030440;0
BER;202209030450;0
BER;202209030500;2
BER;202209030510;5
BER;202209030520;8
BER;202209030530;14
BER;202209030540;23
BER;202209030550;80
BER;202209030600;125
BER;202209030610;152
BER;202209030620;189
BER;202209030630;186
BER;202209030640;219
BER;202209030650;287
BER;202209030700;218
BER;202209030710;302
BER;202209030720;307
BER;202209030730;254
BER;202209030740;114
BER;202209030750;90
BER;202209030800;58
BER;202209030810;76
BER;202209030820;57
BER;202209030830;36
BER;202209030840;86
BER;202209030850;89
BER;202209030900;51
BER;202209030910;20
BER;202209030920;29
BER;202209030930;57
BER;202209030940;52
BER;202209030950;64
BER;202209031000;118
BER;202209031010;404
BER;202209031020;700
BER;202209031030;785
BER;202209031040;473
BER;202209031050;426
BER;202209031100;574
BER;202209031110;410
BER;202209031120;106
BER;202209031130;110
BER;202209031140;255
BER;202209031150;863
BER;202209031200;738
BER;202209031210;512
BER;202209031220;423
BER;202209031230;546
BER;202209031240;367
BER;202209031250;514
BER;202209031300;634
BER;202209031310;459
BER;202209031320;429
BER;202209031330;578
BER;202209031340;619
BER;202209031350;826
BER;202209031400;511
BER;202209031410;551
BER;202209031420;599
BER;202209031430;494
BER;202209031440;564
BER;202209031450;380
BER;202209031500;552
BER;202209031510;373
BER;202209031520;270
BER;202209031530;436
BER;202209031540;376
BER;202209031550;361
BER;202209031600;334
BER;202209031610;302
BER;202209031620;272
BER;202209031630;188
BER;202209031640;197
BER;202209031650;112
BER;202209031700;41
BER;202209031710;88
BER;202209031720;112
BER;202209031730;70
BER;202209031740;32
BER;202209031750;18
BER;202209031800;10
BER;202209031810;4
BER;202209031820;1
BER;202209031830;0
BER;202209031840;0
BER;202209031850;0
BER;202209031900;0
BER;202209031910;0
BER;202209031920;0
BER;202209031930;0
BER;202209031940;0
BER;202209031950;0
BER;202209032000;0
BER;202209032010;0
BER;202209032020;0
BER;202209032030;0
BER;202209032040;0
BER;202209032050;0
BER;202209032100;0
BER;202209032110;0
BER;202209032120;0
BER;202209032130;0
BER;202209032140;0
BER;202209032150;0
BER;202209032200;0
BER;202209032210;0
BER;202209032220;0
BER;202209032230;0
BER;202209032240;0
BER;202209032250;0
BER;202209032300;0
BER;202209032310;0
BER;202209032320;0
BER;202209032330;0
BER;202209032340;0
BER;202209032350;0
BER;202209040000;0
BER;202209040010;0
BER;202209040020;0
BER;202209040030;0
BER;202209040040;0
BER;202209040050;0
BER;202209040100;0
BER;202209040110;0
BER;202209040120;0
BER;202209040130;0
BER;202209040140;0
BER;202209040150;0
BER;202209040200;0
BER;202209040210;0
BER;202209040220;0
BER;202209040230;0
BER;202209040240;0
BER;202209040250;0
BER;202209040300;0
BER;202209040310;0
BER;202209040320;0
BER;202209040330;0
